"genesysId","instCode","name","aliasType","lang","version"
"2509120","","KM  23","OTHERNUMB","","0"
"2509121","","KM  81","OTHERNUMB","","0"
"2509123","","KM  17","OTHERNUMB","","0"
"2509124","","KM  12","OTHERNUMB","","0"
"2509127","","UCV 2139","OTHERNUMB","","0"
"2509127","","096","COLLNUMB","","0"
"2509128","","UCV 2163","OTHERNUMB","","0"
"2509128","","091","COLLNUMB","","0"
"2509129","","UCV 2218","OTHERNUMB","","0"
"2509129","","090","COLLNUMB","","0"
"2509130","","UCV 2191","OTHERNUMB","","0"
"2509130","","009","COLLNUMB","","0"
"2509131","","UCV 2086","OTHERNUMB","","0"
"2509131","","Ceibita Negra","ACCENAME","","0"
"2509131","","086","COLLNUMB","","0"
"2509132","","UCV 2162","OTHERNUMB","","0"
"2509132","","087","COLLNUMB","","0"
"2509133","","UCV 2129","OTHERNUMB","","0"
"2509133","","Barina Amarga","ACCENAME","","0"
"2509133","","083","COLLNUMB","","0"
"2509134","","UCV 2176","OTHERNUMB","","0"
"2509134","","085","COLLNUMB","","0"
"2509135","","UCV 2124","OTHERNUMB","","0"
"2509135","","Blanca","ACCENAME","","0"
"2509135","","082","COLLNUMB","","0"
"2509136","","UCV 2206","OTHERNUMB","","0"
"2509136","","074","COLLNUMB","","0"
"2509137","","UCV 2194","OTHERNUMB","","0"
"2509137","","076","COLLNUMB","","0"
"2509138","","UCV 2180","OTHERNUMB","","0"
"2509138","","077","COLLNUMB","","0"
"2509139","","UCV 2196","OTHERNUMB","","0"
"2509139","","008","COLLNUMB","","0"
"2509140","","UCV 2106","OTHERNUMB","","0"
"2509140","","Ceibita","ACCENAME","","0"
"2509140","","080","COLLNUMB","","0"
"2509141","","UCV 2110","OTHERNUMB","","0"
"2509141","","081","COLLNUMB","","0"
"2509142","","UCV 2174","OTHERNUMB","","0"
"2509142","","070","COLLNUMB","","0"
"2509143","","UCV 2097","OTHERNUMB","","0"
"2509143","","072","COLLNUMB","","0"
"2509144","","UCV 2096","OTHERNUMB","","0"
"2509144","","Dulce","ACCENAME","","0"
"2509144","","073","COLLNUMB","","0"
"2509145","","UCV 2189","OTHERNUMB","","0"
"2509145","","007","COLLNUMB","","0"
"2509146","","UCV 2102","OTHERNUMB","","0"
"2509146","","Canilla De Viejo","ACCENAME","","0"
"2509146","","069","COLLNUMB","","0"
"2509147","","UCV 2145","OTHERNUMB","","0"
"2509147","","068","COLLNUMB","","0"
"2509148","","067","OTHERNUMB","","0"
"2509148","","067","COLLNUMB","","0"
"2509149","","067","OTHERNUMB","","0"
"2509149","","067","COLLNUMB","","0"
"2509150","","UCV 2219","OTHERNUMB","","0"
"2509150","","065","COLLNUMB","","0"
"2509151","","UCV 2213","OTHERNUMB","","0"
"2509151","","066","COLLNUMB","","0"
"2509152","","UCV 2104","OTHERNUMB","","0"
"2509152","","Mantequilla","ACCENAME","","0"
"2509152","","063","COLLNUMB","","0"
"2509153","","UCV 2228","OTHERNUMB","","0"
"2509153","","061","COLLNUMB","","0"
"2509154","","UCV 2080","OTHERNUMB","","0"
"2509154","","Iac 59","ACCENAME","","0"
"2509154","","062","COLLNUMB","","0"
"2509155","","005","OTHERNUMB","","0"
"2509155","","005","COLLNUMB","","0"
"2509156","","059","OTHERNUMB","","0"
"2509156","","059","COLLNUMB","","0"
"2509157","","059","OTHERNUMB","","0"
"2509157","","059","COLLNUMB","","0"
"2509158","","005","OTHERNUMB","","0"
"2509158","","005","COLLNUMB","","0"
"2509159","","UCV 2001","OTHERNUMB","","0"
"2509159","","Apia","ACCENAME","","0"
"2509159","","057","COLLNUMB","","0"
"2509160","","UCV 2062","OTHERNUMB","","0"
"2509160","","058","COLLNUMB","","0"
"2509161","","UCV 2177","OTHERNUMB","","0"
"2509161","","048","COLLNUMB","","0"
"2509162","","UCV 2183","OTHERNUMB","","0"
"2509162","","050","COLLNUMB","","0"
"2509163","","UCV 2158","OTHERNUMB","","0"
"2509163","","051","COLLNUMB","","0"
"2509164","","UCV 2186","OTHERNUMB","","0"
"2509164","","052","COLLNUMB","","0"
"2509165","","UCV 2030","OTHERNUMB","","0"
"2509165","","054","COLLNUMB","","0"
"2509166","","UCV 2134","OTHERNUMB","","0"
"2509166","","055","COLLNUMB","","0"
"2509167","","UCV 2105","OTHERNUMB","","0"
"2509167","","Cadena","ACCENAME","","0"
"2509167","","047","COLLNUMB","","0"
"2509168","","045","OTHERNUMB","","0"
"2509168","","045","COLLNUMB","","0"
"2509169","","UCV 2107","OTHERNUMB","","0"
"2509169","","Mantequilla","ACCENAME","","0"
"2509169","","046","COLLNUMB","","0"
"2509170","","045","OTHERNUMB","","0"
"2509170","","045","COLLNUMB","","0"
"2509171","","UCV 2003","OTHERNUMB","","0"
"2509171","","044","COLLNUMB","","0"
"2509172","","UCV 2150","OTHERNUMB","","0"
"2509172","","043","COLLNUMB","","0"
"2509173","","UCV 2202","OTHERNUMB","","0"
"2509173","","042","COLLNUMB","","0"
"2509174","","UCV 2210","OTHERNUMB","","0"
"2509174","","039","COLLNUMB","","0"
"2509175","","040","OTHERNUMB","","0"
"2509175","","040","COLLNUMB","","0"
"2509176","","UCV 2137","OTHERNUMB","","0"
"2509176","","041","COLLNUMB","","0"
"2509177","","UCV 2197","OTHERNUMB","","0"
"2509177","","038","COLLNUMB","","0"
"2509179","","Aguacate","ACCENAME","","0"
"2509180","","Guambia","ACCENAME","","0"
"2509181","","UCV 2153","OTHERNUMB","","0"
"2509181","","034","COLLNUMB","","0"
"2509182","","UCV 2184","OTHERNUMB","","0"
"2509182","","035","COLLNUMB","","0"
"2509183","","UCV 2060","OTHERNUMB","","0"
"2509183","","036","COLLNUMB","","0"
"2509184","","UCV 2190","OTHERNUMB","","0"
"2509184","","033","COLLNUMB","","0"
"2509195","","UCV 2142","OTHERNUMB","","0"
"2509195","","032","COLLNUMB","","0"
"2509202","","UCV 2148","OTHERNUMB","","0"
"2509202","","031","COLLNUMB","","0"
"2509211","","UCV 2229","OTHERNUMB","","0"
"2509211","","030","COLLNUMB","","0"
"2509221","","UCV 2204","OTHERNUMB","","0"
"2509221","","029","COLLNUMB","","0"
"2509226","","UCV 2234","OTHERNUMB","","0"
"2509226","","028","COLLNUMB","","0"
"2509235","","UCV 2200","OTHERNUMB","","0"
"2509235","","026","COLLNUMB","","0"
"2509244","","UCV 2076","OTHERNUMB","","0"
"2509244","","Querepa Amarga","ACCENAME","","0"
"2509244","","025","COLLNUMB","","0"
"2509248","","UCV 2166","OTHERNUMB","","0"
"2509248","","024","COLLNUMB","","0"
"2509252","","UCV 2078","OTHERNUMB","","0"
"2509252","","Cacho D Toro Amarg","ACCENAME","","0"
"2509252","","023","COLLNUMB","","0"
"2509255","","217","OTHERNUMB","","0"
"2509255","","Cadena","ACCENAME","","0"
"2509255","","217","COLLNUMB","","0"
"2509258","","UCV 2203","OTHERNUMB","","0"
"2509258","","022","COLLNUMB","","0"
"2509261","","214","OTHERNUMB","","0"
