"genesysId","uuid","instCode","acceNumb","genus","species","fullTaxa","orgCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate","doi"
"2509376","6403043c-f922-423b-9778-710f66ca198d","COL003","TAI8","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509382","1ba1ca3b-e2fc-4f8a-b607-32c338cd0c0b","COL003","TAI29","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509383","dfd1f0ea-1996-449c-bae2-fcb8df8c53a1","COL003","TAI3","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509384","f63753cd-87e7-4487-b7e2-bc5df8df86a7","COL003","TAI31","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509385","49bdfef0-310b-452c-95a9-e1e920db7631","COL003","TAI4","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509386","7c288806-12ef-43bf-a196-ee459bbe73e5","COL003","TAI5","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509387","3fe49c84-ace7-4c8c-b703-bab04c0c2c89","COL003","TAI7","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509388","3f5a4125-2e26-4818-af3a-3e27a19faa3c","COL003","TAI24","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509389","629acfc8-b18e-445e-9f17-54f2acd46eb9","COL003","TAI25","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509390","26efcc3a-bba2-448c-804d-f059effc109a","COL003","TAI26","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509391","fbfddaf7-bd30-431c-a2ae-a1776ffa5a22","COL003","TAI27","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509392","498ff521-dea4-4f47-874c-5dc757670eb3","COL003","TAI16","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509393","bfb74d8f-9a7b-4ddb-8c83-fa0507e0b308","COL003","TAI17","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509394","830823e5-20bf-47c9-bcc8-29dfc9157a09","COL003","TAI18","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509395","0cc7856b-d167-4f86-8ca8-803f945843df","COL003","TAI2","Manihot","esculenta","Manihot esculenta Crantz","THA","","19860101","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509396","1604f0e4-e145-40e6-be8d-97ac1874871e","COL003","TAI21","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509397","3461b919-294b-4d55-9119-8315b3ae5973","COL003","TAI22","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509398","e562d6a6-2b97-4014-aabc-f45f635631d6","COL003","TAI23","Manihot","esculenta","Manihot esculenta Crantz","THA","","19911202","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509399","9370c027-d416-4612-9d3f-21876906c448","COL003","TAI15","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509400","b1d6ef44-a924-4497-b1ce-6d7c47407f07","COL003","TAI12","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509401","d85da55d-7f3f-4c1b-8679-329a979e7de7","COL003","TAI1","Manihot","esculenta","Manihot esculenta Crantz","THA","","19810201","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509402","938399d1-ef37-475f-a473-c25f8797fefa","COL003","TAI11","Manihot","esculenta","Manihot esculenta Crantz","THA","","19900219","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509403","7e5080eb-c7b4-4b3c-b515-4abf8611ba8e","COL003","SM719-6","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509404","02ded6cf-4886-472b-9f56-f6c62c26dbb2","COL003","SM734-5","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509405","e220939c-43e5-4749-a176-f8ec50f5fdee","COL003","SM736-22","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509406","dfcb5c53-372c-4811-9245-d55c057b6da5","COL003","SM738-2","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509407","7c8511cc-c5b6-4cc5-99f5-49bb03c24420","COL003","SM814-17","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509408","e9f351a6-e738-469d-86aa-47369de0f527","COL003","SM825-9","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509409","85570920-be11-411c-8bb3-74b0686aad5f","COL003","SM890-9","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509410","0d6125b9-c75d-4dec-b407-3d6deeb30121","COL003","SM673-1","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509411","9213a7ef-8ab8-4ad1-bbbc-6e0b28e0493f","COL003","SM627-5","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509412","e3afcd20-d579-4e9d-9789-78d8ca6d372e","COL003","SM629-6","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509413","2b5fe7d5-f114-4e6b-95f0-b8e0e78c69f3","COL003","SM643-17","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509414","61ad3303-3d04-4073-8f3f-87d721ea4203","COL003","SM667-1","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509415","1653a15f-3105-4479-bf35-5cfc8d81f138","COL003","SM653-14","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509416","1188cad3-ee39-46fd-ab10-b8b375ecddae","COL003","SM593-5","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509417","d0bf1ff3-5f00-4506-b543-3bae9a92a11a","COL003","SM560-4","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509418","21a1f739-9e2c-43ae-8f89-fa3e229fdc42","COL003","SM523-2","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509419","bb6fadab-1363-4cfe-8849-352c4c77ff70","COL003","SM523-1","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509420","6bbefcad-42d9-45aa-a828-d29e2b26b5fb","COL003","SM494-2","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
"2509421","fd7339b3-10b6-41d0-a89e-47f26eb4c72f","COL003","SM306-9","Manihot","esculenta","Manihot esculenta Crantz","COL","40","","true","","false","30","410","","","","4","17-Apr-2015 15:19:39",""
