"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"2509376","13.7333","100.5","0.0","","0.0","","1"
"2509383","13.7333","100.5","0.0","","0.0","","1"
"2509385","13.7333","100.5","0.0","","0.0","","1"
"2509386","13.7333","100.5","0.0","","0.0","","1"
"2509387","13.7333","100.5","0.0","","0.0","","1"
"2509395","13.7333","100.5","0.0","","0.0","","1"
"2509401","13.7333","100.5","0.0","","0.0","","1"
"2509403","3.5333","-76.25","915.0","","0.0","","1"
"2509404","3.5333","-76.25","915.0","","0.0","","1"
"2509405","3.5333","-76.25","915.0","","0.0","","1"
"2509406","3.5333","-76.25","915.0","","0.0","","1"
"2509407","3.5333","-76.25","915.0","","0.0","","1"
"2509408","3.5333","-76.25","915.0","","0.0","","1"
"2509409","3.5333","-76.25","915.0","","0.0","","1"
"2509410","3.5333","-76.25","915.0","","0.0","","1"
"2509411","3.5333","-76.25","915.0","","0.0","","1"
"2509412","3.5333","-76.25","915.0","","0.0","","1"
"2509413","3.5333","-76.25","915.0","","0.0","","1"
"2509414","3.5333","-76.25","915.0","","0.0","","1"
"2509415","3.5333","-76.25","915.0","","0.0","","1"
"2509416","3.5333","-76.25","915.0","","0.0","","1"
"2509417","3.5333","-76.25","915.0","","0.0","","1"
"2509418","3.5333","-76.25","915.0","","0.0","","1"
"2509419","3.5333","-76.25","915.0","","0.0","","1"
"2509420","3.5333","-76.25","915.0","","0.0","","1"
"2509421","3.5333","-76.25","915.0","","0.0","","1"
"2509422","3.5333","-76.25","915.0","","0.0","","1"
"2509423","3.5333","-76.25","915.0","","0.0","","1"
"2509425","3.5333","-76.25","915.0","","0.0","","1"
"2509431","3.5333","-76.25","915.0","","0.0","","1"
"2509432","3.5333","-76.25","915.0","","0.0","","1"
"2509433","3.5333","-76.25","915.0","","0.0","","1"
"2509434","3.5333","-76.25","915.0","","0.0","","1"
"2509435","3.5333","-76.25","915.0","","0.0","","1"
"2509436","3.5333","-76.25","915.0","","0.0","","1"
"2509437","3.5333","-76.25","915.0","","0.0","","1"
"2509438","3.5333","-76.25","915.0","","0.0","","1"
"2509439","3.5333","-76.25","915.0","","0.0","","1"
"2509440","3.5333","-76.25","915.0","","0.0","","1"
"2509441","3.5333","-76.25","915.0","","0.0","","1"
"2509442","3.5333","-76.25","915.0","","0.0","","1"
"2509443","3.5333","-76.25","915.0","","0.0","","1"
"2509444","3.5333","-76.25","915.0","","0.0","","1"
"2509445","3.5333","-76.25","915.0","","0.0","","1"
"2509446","3.5333","-76.25","915.0","","0.0","","1"
"2509447","3.5333","-76.25","915.0","","0.0","","1"
"2509448","3.5333","-76.25","915.0","","0.0","","1"
"2509449","3.5333","-76.25","915.0","","0.0","","1"
"2509450","3.5333","-76.25","915.0","","0.0","","1"
"2509451","3.5333","-76.25","915.0","","0.0","","1"
"2509452","3.5333","-76.25","915.0","","0.0","","1"
"2509453","3.5333","-76.25","915.0","","0.0","","1"
"2509454","3.5333","-76.25","915.0","","0.0","","1"
"2509455","3.5333","-76.25","915.0","","0.0","","1"
"2509456","3.5333","-76.25","915.0","","0.0","","1"
"2509457","3.5333","-76.25","915.0","","0.0","","1"
"2509458","3.5333","-76.25","915.0","","0.0","","1"
"2509459","3.5333","-76.25","915.0","","0.0","","1"
"2509460","3.5333","-76.25","915.0","","0.0","","1"
"2509461","3.5333","-76.25","915.0","","0.0","","1"
"2509462","3.5333","-76.25","915.0","","0.0","","1"
"2509463","3.5333","-76.25","915.0","","0.0","","1"
"2509464","3.5333","-76.25","915.0","","0.0","","1"
"2509465","3.5333","-76.25","915.0","","0.0","","1"
"2509466","3.5333","-76.25","915.0","","0.0","","1"
"2509467","3.5333","-76.25","915.0","","0.0","","1"
"2509468","3.5333","-76.25","915.0","","0.0","","1"
"2509469","3.5333","-76.25","915.0","","0.0","","1"
"2509470","3.5333","-76.25","915.0","","0.0","","1"
"2509471","3.5333","-76.25","915.0","","0.0","","1"
"2510147","7.3833","3.9333","0.0","","0.0","","1"
"2510157","7.3833","3.9333","0.0","","0.0","","1"
"2510242","17.8167","-93.4","50.0","","0.0","","1"
"2510246","17.8167","-93.4","50.0","","0.0","","1"
"2510248","17.8167","-93.4","50.0","","0.0","","1"
"2510251","17.8167","-93.4","50.0","","0.0","","1"
"2510366","-6.5667","106.75","0.0","","0.0","","1"
"2510367","-6.5667","106.75","0.0","","0.0","","1"
"2510370","-6.5667","106.75","0.0","","0.0","","1"
"2510376","-6.5667","106.75","0.0","","0.0","","1"
"2510377","-6.5667","106.75","0.0","","0.0","","1"
"2510378","-6.5667","106.75","0.0","","0.0","","1"
"2510379","-6.5667","106.75","0.0","","0.0","","1"
"2510380","-6.5667","106.75","0.0","","0.0","","1"
"2510381","-6.5667","106.75","0.0","","0.0","","1"
"2510382","-6.5667","106.75","0.0","","0.0","","1"
"2510383","-6.5667","106.75","0.0","","0.0","","1"
"2510385","-6.5667","106.75","0.0","","0.0","","1"
"2510386","-6.5667","106.75","0.0","","0.0","","1"
"2512863","3.5333","-76.25","915.0","","0.0","","1"
"2512864","3.5333","-76.25","915.0","","0.0","","1"
"2512865","3.5333","-76.25","915.0","","0.0","","1"
"2512866","3.5333","-76.25","915.0","","0.0","","1"
"2512867","3.5333","-76.25","915.0","","0.0","","1"
"2512868","3.5333","-76.25","915.0","","0.0","","1"
"2512869","3.5333","-76.25","915.0","","0.0","","1"
"2512870","3.5333","-76.25","915.0","","0.0","","1"
"2512871","3.5333","-76.25","915.0","","0.0","","1"
