"genesysId","instCode","name","aliasType","lang","version"
"2509376","","Cmr 246343(Ryg.60)","ACCENAME","","0"
"2509382","","Cg   50-  3","ACCENAME","","0"
"2509383","","Rayong 3","ACCENAME","","0"
"2509384","","R - 90","ACCENAME","","0"
"2509385","","Omr 23-29-15","ACCENAME","","0"
"2509386","","RAYONG 90","OTHERNUMB","","0"
"2509386","","Cmc 76xv43 (Ryg.5)","ACCENAME","","0"
"2509387","","29-77-5","ACCENAME","","0"
"2509388","","Cmr 29- 43- 45","ACCENAME","","0"
"2509389","","Cmr 25-105-112","ACCENAME","","0"
"2509390","","Cm 6125-117","ACCENAME","","0"
"2509391","","Ku - 50","ACCENAME","","0"
"2509392","","Mkuc 28-77-3","ACCENAME","","0"
"2509393","","Cm 4054-40","ACCENAME","","0"
"2509394","","Cm 4231-32","ACCENAME","","0"
"2509395","","Rayong 2","ACCENAME","","0"
"2509396","","Cmr 29- 56-101","ACCENAME","","0"
"2509397","","Cmr 29- 60- 15","ACCENAME","","0"
"2509398","","Cmr 29- 65- 13","ACCENAME","","0"
"2509399","","Cmr 29-56-101","ACCENAME","","0"
"2509400","","Cmr 26-07-15","ACCENAME","","0"
"2509401","","Rayong 1","ACCENAME","","0"
"2509402","","Cmr 26-65-13","ACCENAME","","0"
"2509403","","SM  719-   6","OTHERNUMB","","0"
"2509404","","SM  734-   5","OTHERNUMB","","0"
"2509405","","SM  736-  22","OTHERNUMB","","0"
"2509406","","SM  738-   2","OTHERNUMB","","0"
"2509407","","SM  814-  17","OTHERNUMB","","0"
"2509408","","SM  825-   9","OTHERNUMB","","0"
"2509409","","SM  890-   9","OTHERNUMB","","0"
"2509410","","SM  673-   1","OTHERNUMB","","0"
"2509411","","SM  627-   5","OTHERNUMB","","0"
"2509412","","SM  629-   6","OTHERNUMB","","0"
"2509413","","SM  643-  17","OTHERNUMB","","0"
"2509414","","SM  667-   1","OTHERNUMB","","0"
"2509415","","SM  653-  14","OTHERNUMB","","0"
"2509416","","SM  593-   5","OTHERNUMB","","0"
"2509417","","SM  560-   4","OTHERNUMB","","0"
"2509418","","SM  523-   2","OTHERNUMB","","0"
"2509419","","SM  523-   1","OTHERNUMB","","0"
"2509420","","SM  494-   2","OTHERNUMB","","0"
"2509421","","SM  306-   9","OTHERNUMB","","0"
"2509422","","SM  328-   1","OTHERNUMB","","0"
"2509423","","SM  344-   8","OTHERNUMB","","0"
"2509425","","SM  301-   3","OTHERNUMB","","0"
"2509431","","SG  804-   5","OTHERNUMB","","0"
"2509432","","SG  787-  10","OTHERNUMB","","0"
"2509433","","SG  702-  19","OTHERNUMB","","0"
"2509434","","SG  756-   7","OTHERNUMB","","0"
