"genesysId","collMissId","collNumb","collDate","collSrc","collSite","collCode","collName","collInstAddress","version"
"2509127","","096","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509128","","091","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509129","","090","19690527","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509130","","009","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509131","","086","19601029","","","","","","0"
"2509132","","087","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509133","","083","19630815","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509134","","085","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509135","","082","19630614","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509136","","074","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509137","","076","19660810","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509138","","077","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509139","","008","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509140","","080","19610119","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509141","","081","19610327","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509142","","070","19660810","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509143","","072","19601104","23","","","","","1"
"2509144","","073","19601104","","","","","","0"
"2509145","","007","19660810","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509146","","069","19610119","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509147","","068","19660810","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509148","","067","19600401","","","","","","0"
"2509149","","067","19690401","","","","","","0"
"2509150","","065","19690527","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509151","","066","19660810","23","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509152","","063","19610119","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509153","","061","19690401","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509154","","062","19600817","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
"2509155","","005","19660810","","","","","","0"
"2509156","","059","19690401","","","","","","0"
"2509157","","059","19690401","","","","","","0"
"2509158","","005","19660810","","","","","","0"
"2509159","","057","19601027","","","","UNIVERSIDAD CENTRAL DE VENEZUELA","","1"
